restaurant_id,name,resto_TA_url,nb_reviews,min_price,max_price,keywords,address,phone_number,website,menu,ranking,rating,score,neighborhood,cuisine,food_specificity,place_type,distance_to_bokan
1,The Lounge Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10519837-Reviews-The_Lounge_Cafe-London_England.html,231,1,1,"['British', 'Vegan', 'Vegan']","Welford Centre 113 Chalkhill Road The Welford Centre, London HA9 9FX England",+44 7771 730946,Website not scraped,Menu not scraped,"#13 of 16,988 Restaurants in London",5.0,1.0,London,British,Vegan,,18.842
19,Tony Parkin at The Tudor Room,https://www.tripadvisor.co.uk/Restaurant_Review-g190796-d4072239-Reviews-Tony_Parkin_at_The_Tudor_Room-Egham_Surrey_England.html,472,4,4,"['European', 'British', 'Contemporary']","Great Fosters Stroude Road, Egham TW20 0UR England",+44 1784 433822,Website not scraped,Menu not scraped,Ranking not found,5.0,,,British,Contemporary,,
18,Tamara Lounge,https://www.tripadvisor.co.uk/Restaurant_Review-g1646049-d3731327-Reviews-Tamara_Lounge-Uxbridge_Greater_London_England.html,684,2,3,"['Indian', 'Asian', 'Vegan']","Uxbridge Road, Uxbridge UB10 0NA England",+44 20 8848 1919,Website not scraped,Menu not scraped,#17 of 102 Restaurants in Uxbridge,3.5,1.0,Uxbridge,Indian,Vegan,,29.143
21,Madhu's Heathrow,https://www.tripadvisor.co.uk/Restaurant_Review-g191260-d5999531-Reviews-Madhu_s_Heathrow-Hayes_Greater_London_England.html,637,2,3,"['Indian', 'Asian', 'Vegan']","Bath Road Sheraton Skyline Hotel London Heathrow, Hayes UB3 5BP England",+44 20 8564 3380,Website not scraped,Menu not scraped,Ranking not found,4.5,,,Indian,Vegan,,
23,Bella Italia Uxbridge,https://www.tripadvisor.co.uk/Restaurant_Review-g1646049-d4008280-Reviews-Bella_Italia_Uxbridge-Uxbridge_Greater_London_England.html,891,2,3,"['Italian', 'Healthy', 'Vegan']","198-200 High Street Intu Uxbridge, Uxbridge UB8 1LB England",+44 1895 379689,Website not scraped,Menu not scraped,#2 of 102 Restaurants in Uxbridge,4.5,0.99,Uxbridge,Italian,Healthy,,
17,Taste Of Peshawar,https://www.tripadvisor.co.uk/Restaurant_Review-g528820-d14766084-Reviews-Taste_Of_Peshawar-Wembley_Greater_London_England.html,171,2,3,"['Barbecue', 'Indian', 'Middle Eastern']","62 Harrow Road, Wembley HA9 6PL England",+44 20 3015 4133,Website not scraped,Menu not scraped,#1 of 155 Restaurants in Wembley,5.0,1.0,Wembley,Indian,Barbecue,,18.049
20,Giftos Lahore Karahi,https://www.tripadvisor.co.uk/Restaurant_Review-g1646066-d946614-Reviews-Giftos_Lahore_Karahi-Southall_Ealing_Greater_London_England.html,647,2,3,"['Indian', 'Asian', 'Indian']","162-164 The Broadway, Southall, Ealing UB1 1NN England",+44 20 8813 8669,Website not scraped,Menu not scraped,Ranking not found,4.0,,,Indian,,,24.818
22,Wild Thyme,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12569115-Reviews-Wild_Thyme-London_England.html,194,2,3,"['Cafe', 'European', 'British']","2B Thorpebank Road, London W12 0PQ England",+44 20 8354 9321,Website not scraped,Menu not scraped,"#22 of 16,988 Restaurants in London",5.0,1.0,London,British,,Cafe,14.924
16,Orpington Citi Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g1934185-d15265576-Reviews-Orpington_Citi_Kitchen-Orpington_Bromley_Greater_London_England.html,145,2,3,"['Indian', 'Asian', 'Vegan']","82 Cotmandene Crescent, Orpington, Bromley BR5 2RG England",+44 20 8302 2222,Website not scraped,Menu not scraped,#2 of 117 Restaurants in Orpington,5.0,0.991,Orpington,Indian,Vegan,,14.096
11,Ottimmo Bao Bao,https://www.tripadvisor.co.uk/Restaurant_Review-g1646049-d12460152-Reviews-Ottimmo_Bao_Bao-Uxbridge_Greater_London_England.html,113,1,1,"['Japanese', 'Asian', 'Vegan']","45 Windsor Street, Uxbridge UB8 1AB England",+44 1895 253049,Website not scraped,Menu not scraped,#1 of 102 Restaurants in Uxbridge,5.0,1.0,Uxbridge,Asian,Vegan,,31.996
